trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.15, 'e': 0.8813724903622346}",25,0,-107.22504821386794,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
109,False,"{'a': 0.15, 'e': 0.8008777679717868}",30,16,-36.14065447730551,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
110,False,"{'a': 0.15, 'e': 0.7023970575027135}",30,1,-54.358903106697994,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 0}",1
111,False,"{'a': 0.15, 'e': 0.5881420234003403}",30,6,-88.60589371925043,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 2}",1
112,False,"{'a': 0.15, 'e': 0.46067858741136253}",20,8,5.081727428188357,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.15, 'e': 0.3228693035132352}",20,6,-12.867290229607457,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.15, 'e': 0.17780907112311914}",20,0,19.35883250224426,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.15, 'e': 0.028755630329187164}",30,15,30.985502940100552,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.15, 'e': 0.12094359992847414}",20,0,19.3380342867854,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
117,False,"{'a': 0.15, 'e': 0.2679266976706763}",20,9,19.5161439423127,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.15, 'e': 0.4088927393988798}",25,13,-23.420737512743443,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.15, 'e': 0.5406759317206272}",35,0,-117.39335898534098,"{0: 26, 1: 3, 2: 2, 3: 2, 4: 2}",0
120,False,"{'a': 0.15, 'e': 0.6603167082440802}",25,6,7.752712671082275,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.15, 'e': 0.7651281950587266}",25,0,-22.952642361103578,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
122,False,"{'a': 0.15, 'e': 0.8527565521308732}",25,0,-40.69185026541974,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
123,False,"{'a': 0.15, 'e': 0.921233835476204}",25,0,-93.55420109011094,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
124,False,"{'a': 0.15, 'e': 0.969022192939049}",20,0,-95.94436291312549,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
125,False,"{'a': 0.15, 'e': 0.9950484010363788}",30,0,-110.26122472047969,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
126,False,"{'a': 0.15, 'e': 0.9987279672435017}",30,0,-211.69024952990532,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
127,False,"{'a': 0.15, 'e': 0.9799782564360798}",30,0,-161.35727736167502,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
